AC_MODEL,AC_TYPE_CODE
737-89M(W),6480
737-89P(W),6480
737-8AJ(W) (BBJ2),6482
737-8AL,6480
737-8AL(W),6480
737-8AL(W)(ETOPS),6480
737-8AN(W) (BBJ2),6482
737-8AS(W),6480
737-8AW(W) (BBJ2),6482
737-8B5,6480
737-8B5(W),6480
737-8B6,6480
737-8B6(W),6480
737-8B6(W)(ETOPS),6480
737-8BG(W),6480
737-8BK,6480
737-8BK(W),6480
737-8BK(W)(ETOPS),6480
737-8C9(W),6480
737-8CT(W),6480
737-8CX,6480
737-8CX(W),6480
737-8D6,6480
737-8D6(BCF()W),6485
737-8D6(W),6480
737-8DC(W),6480
737-8DP(W) (BBJ2),6482
737-8DR(W) (BBJ2),6482
737-8DV(W) (BBJ2),6482
737-8E0(W) (BBJ2),6482
737-8E9(W),6480
737-8EC(W) (BBJ2),6482
737-8EF(W) (BBJ2),6482
737-8EH(W),6480
737-8EQ(W) (BBJ2),6482
737-8EV(W) (BBJ2),6482
737-8EX(W) (BBJ2),6482
737-8F2,6480
737-8F2(W),6480
737-8FB(W),6480
737-8FE(W),6480
737-8FH(W),6480
737-8FN(W),6480
737-8FX(W),6480
737-8FX(W)(ETOPS),6480
737-8FZ(W),6480
737-8FZ(W)(ETOPS),6480
737-8GG(W) (BBJ2),6482
737-8GJ(W),6480
737-8GK(W),6480
737-8GP(W),6480
737-8GQ(W),6480
737-8GS(W),6480
737-8GU(W),6480
737-8H4(W),6480
737-8H4(W)(ETOPS),6480
737-8H6(W),6480
737-8HC(W),6480
737-8HG(W),6480
737-8HO(W),6480
737-8HX,6480
737-8HX(W),6480
737-8HX(W)(ETOPS),6480
737-8JE(W),6480
737-8JM(W) (BBJ2),6482
737-8JP(W),6480
737-8JP(W)(ETOPS),6480
737-8K2,6480
737-8K2(W),6480
737-8K2(W)(ETOPS),6480
737-8K5(W),6480
737-8K9,6480
737-8KB(W) (BBJ2),6482
737-8KF(W),6480
737-8KG(W),6480
737-8KN(W),6480
737-8KT(W) (BBJ2),6482
737-8KV(W),6480
737-8LD(W),6480
737-8LJ(W),6480
737-8LP(W),6480
737-8LW(W),6480
737-8LX(W) (BBJ2),6482
737-8LY(W),6480
737-8LZ(W) (BBJ2),6482
737-8MA(W),6480
737-8MB(W),6480
737-8MC(W),6480
737-8MG(W),6480
737-8Q3(W),6480
737-8Q8,6480
737-8Q8(W),6480
737-8Q8(W)(ETOPS),6480
737-8S3,6480
737-8S3(W),6480
737-8SA(W),6480
737-8SH(W),6480
737-8U3(W),6480
737-8V3,6480
737-8V3(W),6480
737-8X2(W),6480
737-8X2(W)(ETOPS),6480
737-8Z0,6480
737-8Z0(W),6480
737-8Z9(W),6480
737-8ZE(W) (BBJ2),6482
737-8ZM(W),6480
737-8ZQ(W),6480
737-8ZS(W),6480
737-9,6590
737-900ER(W),6492
737-900ER(W) (BBJ3),6493
737-900ER(W)(ETOPS),6492
737-91MER(W),6492
737-924,6490
737-924(W),6490
737-92LER(W),6492
737-932ER(W)(ETOPS),6492
737-93YER(W),6492
737-94XER(W),6492
737-958ER(W),6492
737-95R,6490
737-96NER(W),6492
737-97L,6490
737-97YER(W) (BBJ3),6493
737-990,6490
737-990(W),6490
737-990ER(W),6492
737-9B5,6490
737-9B5ER(W),6492
737-9BKER(W),6492
737-9BQER(W) (BBJ3),6493
737-9F2ER(W),6492
737-9FGER(W) (BBJ3),6493
737-9GJER(W),6492
737-9GPER(W),6492
737-9HWER(W) (BBJ3),6493
737-9JAER(W) (BBJ3),6493
737-9K2,6490
737-9K2(W),6490
737-9KFER(W),6492
737-9KVER(W),6492
737-9LBER(W) (BBJ3),6493
737-9LPER(W),6492
737-T43A,6420
747-121,8810
747-121(F),8814
747-122,8810
747-122(F),8814
747-123,8810
747-123(F),8814
747-124,8810
747-124(F),8814
747-127,8810
747-128,8810
747-128(F),8814
747-129(F),8814
747-130,8810
747-131,8810
747-131(F),8814
747-132(F),8814
747-133,8810
747-135,8810
747-136,8810
747-143,8810
747-146,8810
747-146(F),8814
747-146B(EUD),8822
747-148,8810
747-151,8810
747-156,8810
747-168B,8818
747-186B,8818
747-1D1,8810
747-206B(EUD),8833
747-206B(EUD/SCD),8839
747-206B(F),8839
747-209B,8830
747-209B(F),8836
747-209F,8850
747-211B,8830
747-212B,8830
747-212B(F),8836
747-212F,8850
747-217B,8830
747-219B,8830
747-21AC,8845
747-221F,8850
747-222B(F),8836
747-227B,8830
747-228B(F),8836
747-228B(SCD),8836
747-228F,8850
747-230B(F),8836
747-230B(SCD),8836
747-230F,8850
747-233B,8836
747-236B,8830
747-236B(F),8836
747-236F,8850
747-237B,8830
747-237B(F),8836
747-238B(F),8836
747-238B(SCD),8836
747-240B,8836
747-243B,8830
747-243B(F),8836
747-243F,8850
747-244B(F),8836
747-244B(SCD),8836
747-245F,8850
747-246B,8830
747-246B(F),8836
747-246F,8850
747-249F,8850
747-251B,8830
747-251B(F),8836
747-251F,8850
747-256B,8830
747-256B(F),8836
747-257B,8830
747-258B,8830
747-258B(F),8836
747-258C,8845
747-258F,8850
747-259B(F),8836
747-267B,8830
747-267B(F),8836
747-267F,8850
747-268F,8850
747-269B,8836
747-269B(F),8836
747-270C,8845
747-271C,8845
747-273C,8845
747-281B,8830
747-281B(F),8836
747-281F,8850
747-282B,8830
